Year,Month,Sales(In ThousandDollars),ProductCategory_MenClothing,ProductCategory_OtherClothing,ProductCategory_WomenClothing,Year-Month,Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,AdvertisingExpenses (in Thousand Dollars),Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports,PartyInPower_Democrats,Event_'Christmas Day' observed,Event_'Independence Day' observed,Event_'New Year's Day' observed,Event_Christmas Day,Event_Christmas Eve,Event_Columbus Day (Most regions),Event_Day After Christmas Day,Event_Easter Sunday,Event_Election Day,Event_Father's Day,Event_Halloween,Event_Independence Day,Event_Labor Day,Event_Martin Luther King Jr. Day,Event_Memorial Day,Event_Mother's Day,Event_New Year's Day,Event_New Year's Eve,Event_Presidents' Day,Event_Thanksgiving Day,Event_Thomas Jefferson's Birthday,Event_Valentine's Day,Event_Veterans Day,DayCategory_Event,DayCategory_Federal Holiday,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
2009,1,1755.0,False,False,True,2009 - Jan,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,137.0,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - Jan,14421.7528954451,14407.053343022,233.402,7.8,12.03,11.44,22.05,137.0,57.7,4.02,9.296,7.559,799.0,12.589,4.17,11.55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - Feb,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,200.0,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - Feb,14389.2004660291,14366.1765714005,234.663,8.3,12.97,11.05,22.22,200.0,55.21,-4.32,9.296,7.559,799.0,12.589,3.87,11.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - Mar,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,200.0,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - Mar,14340.7016385792,14351.7868217385,235.067,8.7,12.97,11.05,22.22,200.0,51.5,-6.72,9.296,7.559,799.0,12.589,3.72,11.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - Apr,14326.8155253522,14351.6017305356,235.582,9.0,12.97,11.05,22.13,214.0,56.78,10.25,9.296,7.559,787.0,12.4,3.62,12.225,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - Apr,14326.8155253522,14351.6017305356,235.582,9.0,12.97,11.05,22.13,214.0,56.78,10.25,9.296,7.559,787.0,12.4,3.62,12.225,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - May,14345.9048088631,14368.1239591978,235.975,9.4,13.32,11.25,22.04,200.0,61.95,9.11,9.297,7.4,803.0,12.384,3.52,12.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
2009,1,1755.0,False,False,True,2009 - May,14345.9048088631,14368.1239591978,235.975,9.4,13.32,11.25,22.04,200.0,61.95,9.11,9.297,7.4,803.0,12.384,3.52,12.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,
