Year,MonthDate,Event,DayCategory
2009,01/01/2001,New Year's Day,Federal Holiday
2009,01/01/2019,Martin Luther King Jr. Day,Federal Holiday
2009,02/01/2014,Valentine's Day,Event
2009,02/01/2016,Presidents' Day,Federal Holiday
2009,04/01/2012,Easter Sunday,Event
2009,05/01/2010,Mother's Day,Event
2009,05/01/2025,Memorial Day,Federal Holiday
2009,06/01/2021,Father's Day,Event
2009,07/01/2003,'Independence Day' observed,Federal Holiday
2009,07/01/2004,Independence Day,Federal Holiday
2009,09/01/2007,Labor Day,Federal Holiday
2009,10/01/2012,Columbus Day (Most regions),Federal Holiday
2009,10/01/1931,Halloween,Event
2009,11/01/2011,Veterans Day,Federal Holiday
2009,11/01/2026,Thanksgiving Day,Federal Holiday
2009,12/01/2024,Christmas Eve,Event
2009,12/01/2025,Christmas Day,Federal Holiday
2009,12/01/1931,New Year's Eve,Event
2010,01/01/2001,New Year's Day,Federal Holiday
2010,01/01/2018,Martin Luther King Jr. Day,Federal Holiday
2010,02/01/2014,Valentine's Day,Event
2010,02/01/2015,Presidents' Day,Federal Holiday
2010,04/01/2004,Easter Sunday,Event
2010,05/01/2009,Mother's Day,Event
2010,05/01/1931,Memorial Day,Federal Holiday
2010,06/01/2020,Father's Day,Event
2010,07/01/2004,Independence Day,Federal Holiday
2010,07/01/2005,'Independence Day' observed,Federal Holiday
2010,09/01/2006,Labor Day,Federal Holiday
2010,10/01/2011,Columbus Day (Most regions),Federal Holiday
2010,10/01/1931,Halloween,Event
2010,11/01/2011,Veterans Day,Federal Holiday
2010,11/01/2025,Thanksgiving Day,Federal Holiday
2010,12/01/2024,'Christmas Day' observed,Federal Holiday
2010,12/01/2024,Christmas Eve,Event
2010,12/01/2025,Christmas Day,Federal Holiday
2010,12/01/1931,'New Year's Day' observed,Federal Holiday
2010,12/01/1931,New Year's Eve,Event
2011,01/01/2001,New Year's Day,Federal Holiday
2011,01/01/2017,Martin Luther King Jr. Day,Federal Holiday
2011,02/01/2014,Valentine's Day,Event
2011,02/01/2021,Presidents' Day,Federal Holiday
2011,04/01/2024,Easter Sunday,Event
2011,05/01/2008,Mother's Day,Event
2011,05/01/1930,Memorial Day,Federal Holiday
2011,06/01/2019,Father's Day,Event
2011,07/01/2004,Independence Day,Federal Holiday
2011,09/01/2005,Labor Day,Federal Holiday
2011,10/01/2010,Columbus Day (Most regions),Federal Holiday
2011,10/01/1931,Halloween,Event
2011,11/01/2011,Veterans Day,Federal Holiday
2011,11/01/2024,Thanksgiving Day,Federal Holiday
2011,12/01/2024,Christmas Eve,Event
2011,12/01/2025,Christmas Day,Federal Holiday
2011,12/01/2026,'Christmas Day' observed,Federal Holiday
2011,12/01/1931,New Year's Eve,Event
2012,01/01/2001,New Year's Day,Federal Holiday
2012,01/01/2002,'New Year's Day' observed,Federal Holiday
2012,01/01/2016,Martin Luther King Jr. Day,Federal Holiday
2012,02/01/2014,Valentine's Day,Event
2012,02/01/2020,Presidents' Day,Federal Holiday
2012,04/01/2008,Easter Sunday,Event
2012,05/01/2013,Mother's Day,Event
2012,05/01/2028,Memorial Day,Federal Holiday
2012,06/01/2017,Father's Day,Event
2012,07/01/2004,Independence Day,Federal Holiday
2012,09/01/2003,Labor Day,Federal Holiday
2012,10/01/2008,Columbus Day (Most regions),Federal Holiday
2012,10/01/1931,Halloween,Event
2012,11/01/2006,Election Day,Event
2012,11/01/2011,Veterans Day,Federal Holiday
2012,11/01/2022,Thanksgiving Day,Federal Holiday
2012,12/01/2024,Christmas Eve,Event
2012,12/01/2025,Christmas Day,Federal Holiday
2012,12/01/1931,New Year's Eve,Event
2013,01/01/2001,New Year's Day,Federal Holiday
2013,01/01/2021,Martin Luther King Jr. Day,Federal Holiday
2013,02/01/2014,Valentine's Day,Event
2013,02/01/2018,Presidents' Day,Federal Holiday
2013,03/01/1931,Easter Sunday,Event
2013,05/01/2012,Mother's Day,Event
2013,05/01/2027,Memorial Day,Federal Holiday
2013,06/01/2016,Father's Day,Event
2013,07/01/2004,Independence Day,Federal Holiday
2013,09/01/2002,Labor Day,Federal Holiday
2013,10/01/2014,Columbus Day (Most regions),Federal Holiday
2013,10/01/1931,Halloween,Event
2013,11/01/2011,Veterans Day,Federal Holiday
2013,11/01/2028,Thanksgiving Day,Federal Holiday
2013,12/01/2024,Christmas Eve,Event
2013,12/01/2025,Christmas Day,Federal Holiday
2013,12/01/1931,New Year's Eve,Event
2014,01/01/2001,New Year's Day,Federal Holiday
2014,01/01/2020,Martin Luther King Jr. Day,Federal Holiday
2014,02/01/2014,Valentine's Day,Event
2014,02/01/2017,Presidents' Day,Federal Holiday
2014,04/01/2013,Thomas Jefferson's Birthday,Event
2014,04/01/2020,Easter Sunday,Event
2014,05/01/2011,Mother's Day,Event
2014,05/01/2026,Memorial Day,Federal Holiday
2014,06/01/2015,Father's Day,Event
2014,07/01/2004,Independence Day,Federal Holiday
2014,09/01/2001,Labor Day,Federal Holiday
2014,10/01/2013,Columbus Day (Most regions),Federal Holiday
2014,10/01/1931,Halloween,Event
2014,11/01/2011,Veterans Day,Federal Holiday
2014,11/01/2027,Thanksgiving Day,Federal Holiday
2014,12/01/2024,Christmas Eve,Event
2014,12/01/2025,Christmas Day,Federal Holiday
2014,12/01/1931,New Year's Eve,Event
2015,01/01/2001,New Year's Day,Federal Holiday
2015,01/01/2019,Martin Luther King Jr. Day,Federal Holiday
2015,02/01/2014,Valentine's Day,Event
2015,02/01/2016,Presidents' Day,Federal Holiday
2015,04/01/2005,Easter Sunday,Event
2015,04/01/2013,Thomas Jefferson's Birthday,Event
2015,05/01/2010,Mother's Day,Event
2015,05/01/2025,Memorial Day,Federal Holiday
2015,06/01/2021,Father's Day,Event
2015,07/01/2003,'Independence Day' observed,Federal Holiday
2015,07/01/2004,Independence Day,Federal Holiday
2015,09/01/2007,Labor Day,Federal Holiday
2015,10/01/2012,Columbus Day (Most regions),Federal Holiday
2015,10/01/1931,Halloween,Event
2015,11/01/2011,Veterans Day,Federal Holiday
2015,11/01/2026,Thanksgiving Day,Federal Holiday
2015,12/01/2024,Christmas Eve,Event
2015,12/01/2025,Christmas Day,Federal Holiday
2015,12/01/2026,Day After Christmas Day,Event
2015,12/01/1931,New Year's Eve,Event
2016,01/01/2001,New Year's Day,Federal Holiday
2016,01/01/2018,Martin Luther King Jr. Day,Federal Holiday
2016,02/01/2014,Valentine's Day,Event
2016,02/01/2015,Presidents' Day,Federal Holiday
2016,03/01/2027,Easter Sunday,Event
2016,04/01/2013,Thomas Jefferson's Birthday,Event
2016,05/01/2008,Mother's Day,Event
2016,05/01/1930,Memorial Day,Federal Holiday
2016,06/01/2019,Father's Day,Event
2016,07/01/2004,Independence Day,Federal Holiday
2016,09/01/2005,Labor Day,Federal Holiday
2016,10/01/2010,Columbus Day (Most regions),Federal Holiday
2016,10/01/1931,Halloween,Event
2016,11/01/2008,Election Day,Event
2016,11/01/2011,Veterans Day,Federal Holiday
2016,11/01/2024,Thanksgiving Day,Federal Holiday
2016,12/01/2024,Christmas Eve,Event
2016,12/01/2025,Christmas Day,Federal Holiday
2016,12/01/2026,'Christmas Day' observed,Federal Holiday
2016,12/01/1931,New Year's Eve,Event
